start,130,2017,long,lat,22,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,350,287,87.5,18.25,-13334360,99681.62,121.25,13.76192,89.86086,53.80118,0.0,0.2499969,0.009087619,117.9488,22932910000.0,2017.0,6.0,10.0,10.0
,351,286,87.75,18.5,-13434840,99655.5,177.0,13.92528,90.17143,36.74033,0.0,0.2633222,0.004763735,44.76513,9175802000.0,2017.0,6.0,10.0,11.0
,351,286,87.75,18.5,-13611720,99658.5,164.5,13.64252,89.36329,36.74033,0.0,0.2613059,0.004497262,41.06206,10089390000.0,2017.0,6.0,10.0,12.0
,352,285,88.0,18.75,-13786280,99710.75,123.5,14.12792,88.95302,36.74033,0.0,0.254494,0.003744938,31.20221,9264930000.0,2017.0,6.0,10.0,13.0
,353,284,88.25,19.0,-13907920,99752.44,187.75,13.92945,88.90784,36.74033,0.0,0.2484694,0.003190393,24.53492,8325356000.0,2017.0,6.0,10.0,14.0
,354,284,88.5,19.0,-13988840,99819.0,206.75,13.66964,89.44626,36.74033,0.0,0.237,0.003196725,24.608,8480619000.0,2017.0,6.0,10.0,15.0
,355,284,88.75,19.0,-14066910,99827.94,250.0,13.02441,90.05586,36.74033,0.0,0.2298366,0.005585888,56.84036,12016160000.0,2017.0,6.0,10.0,16.0
,356,283,89.0,19.25,-14122930,99858.25,294.0,13.11553,90.60433,36.74033,0.0,0.2255369,0.007235769,83.80029,18388040000.0,2017.0,6.0,10.0,17.0
,356,282,89.0,19.5,-14169940,99812.31,288.25,13.57446,91.67144,36.74033,0.0,0.2362611,0.005404083,54.08807,14763330000.0,2017.0,6.0,10.0,18.0
,357,282,89.25,19.5,-14272100,99760.94,340.25,14.72813,92.23634,36.74033,0.0,0.2469115,0.005488561,55.36129,13861260000.0,2017.0,6.0,10.0,19.0
,357,282,89.25,19.5,-14429640,99659.0,359.0,14.2126,92.60718,36.74033,0.0,0.2634099,0.007963689,96.75868,21878440000.0,2017.0,6.0,10.0,20.0
,356,281,89.0,19.75,-14671240,99601.19,422.25,14.77391,92.84376,36.74033,0.0,0.2740858,0.005613311,57.25944,15247100000.0,2017.0,6.0,10.0,21.0
,354,281,88.5,19.75,-15716380,99607.0,341.5,15.35791,90.77917,36.74033,0.0,0.2646829,0.004537035,41.60798,13654670000.0,2017.0,6.0,10.0,22.0
,354,281,88.5,19.75,-15777320,99629.19,335.5,15.3611,90.9337,36.74033,0.0,0.2692264,0.004685115,43.66152,13442180000.0,2017.0,6.0,10.0,23.0
,354,280,88.5,20.0,-15820530,99646.12,421.5,14.72267,91.08386,92.41257,0.0,0.2642218,0.003029293,22.70024,8491192000.0,2017.0,6.0,11.0,0.0
,354,279,88.5,20.25,-15772980,99670.12,349.5,15.02594,91.01398,259.4293,0.0,0.2597085,0.003143402,23.99487,8084522000.0,2017.0,6.0,11.0,1.0
,354,279,88.5,20.25,-15728650,99702.69,376.25,15.15565,91.42538,259.4293,0.0,0.2571201,0.003053134,22.96874,9328277000.0,2017.0,6.0,11.0,2.0
,354,279,88.5,20.25,-15634220,99714.62,372.0,15.28776,91.32187,259.4293,0.0,0.2550383,0.002074628,12.86557,6244315000.0,2017.0,6.0,11.0,3.0
,354,279,88.5,20.25,-15476870,99715.06,379.0,16.19416,91.19265,259.4293,0.0,0.2546573,0.001160376,5.381666,3021143000.0,2017.0,6.0,11.0,4.0
,354,280,88.5,20.0,-15248190,99687.25,364.25,16.16523,91.60671,92.41257,0.0,0.2588123,0.002773117,19.88249,5826402000.0,2017.0,6.0,11.0,5.0
,354,280,88.5,20.0,-15081420,99660.88,339.25,15.99431,90.9057,92.41257,0.0,0.2637829,0.003724373,30.94554,7677221000.0,2017.0,6.0,11.0,6.0
,355,280,88.75,20.0,-14956890,99578.06,372.25,16.6045,90.29982,57.39294,0.0,0.2764119,0.007195171,83.096,16913040000.0,2017.0,6.0,11.0,7.0
,356,279,89.0,20.25,-14864180,99531.19,316.25,17.72944,89.98948,67.27027,0.0,0.285693,0.01057945,148.1538,23479990000.0,2017.0,6.0,11.0,8.0
,357,278,89.25,20.5,-14775010,99457.81,334.75,17.86446,90.67191,107.6775,0.0,0.3003174,0.01246683,189.5189,32047990000.0,2017.0,6.0,11.0,9.0
,358,276,89.5,21.0,-15018760,99302.25,325.75,17.27367,88.53448,107.6775,0.0,0.3287652,0.01108876,158.9802,27965000000.0,2017.0,6.0,11.0,10.0
,358,275,89.5,21.25,-14573810,99240.69,423.0,16.53635,88.98076,113.0652,0.0,0.3400221,0.005337133,53.08605,11406810000.0,2017.0,6.0,11.0,11.0
,359,275,89.75,21.25,-14271620,99257.75,437.25,17.73534,89.54574,113.0652,0.0,0.3369015,0.00731676,85.2112,17391870000.0,2017.0,6.0,11.0,12.0
,359,274,89.75,21.5,-14148750,99312.25,410.5,17.25207,90.57736,130.126,0.0007324554,0.3271986,0.004201686,37.08121,10772820000.0,2017.0,6.0,11.0,13.0
,360,273,90.0,21.75,-14106100,99368.25,454.5,16.77417,92.19463,517.1379,0.1444921,0.3163707,0.007409446,86.83545,9967405000.0,2017.0,6.0,11.0,14.0
,360,272,90.0,22.0,-14061170,99377.31,487.75,16.98,93.65678,579.9937,0.6418751,0.314167,0.002411083,16.11894,4747143000.0,2017.0,6.0,11.0,15.0
,360,272,90.0,22.0,-14010000,99409.12,483.25,17.22158,93.71877,579.9937,0.6418751,0.3060559,0.004325415,38.73112,8597196000.0,2017.0,6.0,11.0,16.0
,361,271,90.25,22.25,-13909520,99351.31,551.75,17.84476,93.90278,1358.507,0.8778173,0.3185091,0.004282892,38.16138,8372565000.0,2017.0,6.0,11.0,17.0
,361,270,90.25,22.5,-13834120,99295.56,619.75,18.01912,93.73502,1573.115,0.9247707,0.3279241,0.003643165,29.93896,8975673000.0,2017.0,6.0,11.0,18.0
,361,270,90.25,22.5,-13772710,99207.31,701.25,17.13625,93.73636,1573.115,0.9247707,0.3439057,0.005649477,57.81372,9453628000.0,2017.0,6.0,11.0,19.0
,361,269,90.25,22.75,-13779320,99158.0,760.5,17.78389,93.05068,2430.647,0.9192163,0.3540089,0.007361859,86.00025,11710290000.0,2017.0,6.0,11.0,20.0
,361,269,90.25,22.75,-13906490,99161.06,698.5,18.24434,92.72442,2430.647,0.9192163,0.3544191,0.004421398,40.02745,9309445000.0,2017.0,6.0,11.0,21.0
,361,270,90.25,22.5,-15161900,99107.31,731.0,18.76528,90.63551,1573.115,0.9247707,0.3631633,0.004977297,47.80891,12052370000.0,2017.0,6.0,11.0,22.0
,361,269,90.25,22.75,-15109580,99108.12,747.25,18.95774,90.56055,2430.647,0.9192163,0.3649438,0.004888222,46.53126,11245940000.0,2017.0,6.0,11.0,23.0
,361,269,90.25,22.75,-15081780,99125.69,767.25,19.19426,90.32287,2430.647,0.9192163,0.3619617,0.00884851,113.3245,16945120000.0,2017.0,6.0,12.0,0.0
,361,269,90.25,22.75,-15036960,99147.5,759.25,19.5052,89.88155,2430.647,0.9192163,0.3577631,0.01197319,178.3746,23912750000.0,2017.0,6.0,12.0,1.0
,362,269,90.5,22.75,-15005400,99181.19,796.25,19.17082,90.28282,4412.399,0.7537577,0.3515384,0.007660134,91.27944,16738180000.0,2017.0,6.0,12.0,2.0
,362,269,90.5,22.75,-14891740,99200.31,784.75,19.40982,90.81818,4412.399,0.7537577,0.347309,0.01402669,226.1784,29775370000.0,2017.0,6.0,12.0,3.0
,362,268,90.5,23.0,-14727730,99221.38,744.5,19.26262,90.85606,4412.399,0.7426335,0.3440337,0.0152363,256.0576,25650090000.0,2017.0,6.0,12.0,4.0
,362,268,90.5,23.0,-14532590,99182.31,725.25,18.14085,90.95325,4412.399,0.7426335,0.3485696,0.02448048,521.4929,42237880000.0,2017.0,6.0,12.0,5.0
,363,268,90.75,23.0,-14317360,99183.88,664.5,17.67173,90.84996,6826.06,0.8262555,0.3510354,0.03422266,861.9639,60284060000.0,2017.0,6.0,12.0,6.0
,364,267,91.0,23.25,-14098390,99163.88,631.0,16.22259,90.87029,9186.743,0.9997559,0.3547825,0.02396126,504.9901,41606170000.0,2017.0,6.0,12.0,7.0
,364,266,91.0,23.5,-13837950,99167.12,572.25,15.96032,90.22276,9186.743,0.999527,0.3522523,0.01347214,212.8988,22298920000.0,2017.0,6.0,12.0,8.0
,364,266,91.0,23.5,-13604930,99127.69,594.0,15.52393,90.30126,9186.743,0.999527,0.3615849,0.01613832,279.1297,25742120000.0,2017.0,6.0,12.0,9.0
,364,265,91.0,23.75,-14084520,99008.75,561.5,15.85608,89.20226,13352.28,0.9855798,0.3801858,0.01253299,191.0296,23731550000.0,2017.0,6.0,12.0,10.0
,364,265,91.0,23.75,-13675230,99016.75,578.75,15.4517,88.78984,13352.28,0.9855798,0.3811387,0.01729877,309.7713,34858880000.0,2017.0,6.0,12.0,11.0
,365,264,91.25,24.0,-13376890,99095.5,539.0,13.93688,88.60511,13352.28,0.9952695,0.3662421,0.0117265,172.8904,24312840000.0,2017.0,6.0,12.0,12.0
,366,263,91.5,24.25,-13162390,99114.0,530.5,12.64988,88.50541,13352.28,0.9997711,0.3608198,0.01152023,168.3488,24844910000.0,2017.0,6.0,12.0,13.0
,366,263,91.5,24.25,-12971610,99230.06,534.0,11.62408,87.58369,13352.28,0.9997711,0.3380956,0.008857545,113.4981,22644260000.0,2017.0,6.0,12.0,14.0
,366,262,91.5,24.5,-12665820,99321.19,535.75,10.85147,86.94596,13352.28,0.9928128,0.3251851,0.007546644,89.25844,19168050000.0,2017.0,6.0,12.0,15.0
,367,262,91.75,24.5,-12276880,99395.5,517.25,10.70555,87.05138,13352.28,0.9904781,0.311944,0.0108567,154.0158,24606970000.0,2017.0,6.0,12.0,16.0
,367,261,91.75,24.75,-11851690,99453.94,495.75,11.11101,86.75223,13352.28,0.9907222,0.3011082,0.00670362,74.72786,15541380000.0,2017.0,6.0,12.0,17.0
,366,261,91.5,24.75,-11580380,99494.06,441.75,11.52908,86.25754,13352.28,0.9898677,0.2935577,0.01111014,159.4403,20946510000.0,2017.0,6.0,12.0,18.0
,366,260,91.5,25.0,-11402070,99517.75,405.75,11.30401,86.58021,13352.28,0.9887995,0.2893057,0.009034318,116.9127,12869420000.0,2017.0,6.0,12.0,19.0
,365,260,91.25,25.0,-11379830,99505.44,391.25,11.81121,85.99557,13352.28,0.9611951,0.2912,0.01133336,164.2694,17610670000.0,2017.0,6.0,12.0,20.0
,365,260,91.25,25.0,-11343630,99508.31,341.5,11.7656,86.42229,13352.28,0.9611951,0.2915366,0.0114936,167.7655,18539300000.0,2017.0,6.0,12.0,21.0
,364,260,91.0,25.0,-10869360,99517.94,292.375,9.662012,88.57505,13352.28,0.9781789,0.2855143,0.009201972,120.1821,17500980000.0,2017.0,6.0,12.0,22.0
,364,260,91.0,25.0,-10872580,99548.38,312.0,10.49283,89.1423,13352.28,0.9781789,0.2802429,0.008491009,106.5264,17390570000.0,2017.0,6.0,12.0,23.0
,364,260,91.0,25.0,-10880450,99573.81,317.25,9.847622,89.56643,13352.28,0.9781789,0.2757912,0.007640981,90.93731,14500810000.0,2017.0,6.0,13.0,0.0
,364,260,91.0,25.0,-10779610,99685.31,226.5,9.05076,90.01343,13352.28,0.9781789,0.2570983,0.009635282,128.7701,17420730000.0,2017.0,6.0,13.0,1.0
,365,260,91.25,25.0,-10645120,99750.12,214.875,8.3377,90.41178,13352.28,0.9611951,0.24887,0.01412492,228.5586,24216430000.0,2017.0,6.0,13.0,2.0
,365,260,91.25,25.0,-10362820,99826.44,145.125,8.135512,89.92718,13352.28,0.9611951,0.2353837,0.01472145,243.1892,27778400000.0,2017.0,6.0,13.0,3.0
,366,259,91.5,25.25,-9988810,99855.38,132.625,7.632057,89.55776,15581.87,0.9916989,0.2258971,0.008222407,101.5119,11426570000.0,2017.0,6.0,13.0,4.0
,367,259,91.75,25.25,-9581859,99841.69,139.5,8.066751,89.59827,15581.87,0.9953916,0.2210022,0.009216044,120.4579,13306070000.0,2017.0,6.0,13.0,5.0
,367,259,91.75,25.25,-9197048,99873.44,132.75,7.937304,89.77423,15581.87,0.9953916,0.2135012,0.009136955,118.9106,14395850000.0,2017.0,6.0,13.0,6.0
,368,259,92.0,25.25,-8878216,99809.0,161.25,7.248266,90.0092,15581.87,0.9946744,0.2188637,0.00965893,129.2445,18179740000.0,2017.0,6.0,13.0,7.0
start,95,2017,7.0,15.0,22,,,,,,,,,,,,,,
